mis. mean (deg)	stdev
	
	
45.53333333	0.057735027
	
	
56.76666667	0.461880215
	
	
60.23333333	0.057735027
	
	
29.2	0
	
	
34.1	0.346410162
	
	
51.06666667	8.198373822
	
	
41.5	0.608276253
	
	
39.8	0
	
	
38.26666667	0.75055535
	
	
56.3	8.70234E-15
	
	
32.16666667	0.461880215
	
	
40.6	0.3
	
	
52.4	0.346410162
	
	
42.4	0.2
	
	
32.46666667	0.472581563
	
	
44.33333333	1.154700538
	
	
33.5	0.7
	
	
39.16666667	0.230940108
	
	
32.66666667	0.850490055
	
	
58.56666667	0.2081666
	
	
54.03333333	0.75055535
	
	
51.9	0.458257569
	
	
46.36666667	0.461880215
	
	
36.46666667	0.577350269
	
	
39.76666667	0.513160144
	
	
8.166666667	0.115470054
	
	
35.93333333	0.472581563
	
	
37.7	0.608276253
	
	
41.36666667	0.665832812
	
	
56.33333333	0.75055535
	
	
	
	
	
46.9	0
	
	
	
	
	
43.1	0
	
	
42.1	0
	
	
48.4	0
	
	
59.8	0.346410162
	
	
39.7	0.346410162
	
	
34.2	0.346410162
	
	
59.46666667	0.288675135
	
	
39.3	0.346410162
	
	
36.63333333	0.288675135
	
	
57.8	0.346410162
	
	
38.8	0.346410162
	
	
27.53333333	0.585946528
	
	
33.73333333	0.450924975
	
	
8.666666667	0.37859389
	
	
54.13333333	4.545693933
	
	
48.2	8.70234E-15
	
	
	
35.1	0
	
	
51.53333333	0.450924975
	
	
25.53333333	0.230940108
	
	
56.66666667	0.461880215
	
	
59.6	0
	
	
23.16666667	0.404145188
	
	
52.43333333	0.404145188
	
	
16.9	0
	
	
54.73333333	0.493288286
	
	
43.96666667	0.404145188
	
	
45.93333333	0.115470054
	
	
24.1	4.35117E-15
	
	
26.7	0
	
	
53.06666667	0.057735027
	
	
58.16666667	0.230940108
	
	
16.73333333	0.472581563
	
	
27.03333333	0.288675135
	
	
51.7	0.435889894
	
	
42.3	0.692820323
	
	
	
	
	
38.33333333	0.057735027
	
	
	
	
	
	
	
	
55.46666667	0.057735027
	
	
51.13333333	0.461880215
	
	
39.3	0
	
	
54.6	0.346410162
	
	
40.3	0.173205081
	
	
30.26666667	0.230940108
	
	
48.7	8.70234E-15
	
	
36.06666667	0.057735027
	
	
60.73333333	0.115470054
	
	
31.2	0
	
	
40.9	0
	
	
52.6	0.173205081
	
	
24.8	0.346410162
	
	
39	0
	
	
47.83333333	0.115470054
	
	
43.96666667	0.461880215
	
	
42	0
	
	
47.6	0
	
	
42.5	0
	
	
33.6	0.346410162
	
	
37.53333333	0.404145188
	
	
39.3	0.173205081
	
	
42.5	0
	
	
17	0.519615242
	
	
51	0.173205081
	
	
41.8	0
	
	
41.5	0
	
	
34.46666667	0.115470054
	
	
46.16666667	0.288675135
	
	
35.2	0
	
	
22.4	0.346410162
	
	
40.8	0
	
	
36.3	0
	
	
46.1	0
	
	
25.1	4.35117E-15
	
	
47.2	0.173205081
	
	
13.46666667	0.814452782
	
	
28.5	1.039230485
	
	
30.2	0
	
	
15.4	0
	
	
27.9	4.35117E-15
	
	
16.3	0.519615242
	
	
52.4	0.173205081
	
	
59.63333333	0.230940108
	
	
27.26666667	0.513160144
	
	
45.1	0
	
	
43	0.346410162
	
	
54	0
	
	
55.5	0
	
	
42.26666667	0.577350269
	
	
44.66666667	0.503322296
	
	
43.26666667	0.230940108
	
	
53.5	0
	
	
49.5	0
	
	
36.3	0
	
	
50.4	0
	
	
22.53333333	0.115470054
	
	
23.86666667	0.602771377
	
	
33.06666667	0.585946528
	
	
40.8	0
	
	
47.83333333	0.288675135
	
	
32	0
	
	
53.2	0.854400375
	
	
19.43333333	0.503322296
	
	
46.26666667	0.404145188
	
	
29.1	4.35117E-15
	
	
44.2	8.70234E-15
	
	
53	0
